Animat,Speed,Size,Population,Day,Meanspeed,Meansize
57,2.0,12.0,75.0,2,2.0011547,12.012807
58,2.0,12.0,75.0,2,2.0011547,12.012807
59,2.0,12.0,75.0,2,2.0011547,12.012807
60,2.0,12.0,75.0,2,2.0011547,12.012807
61,2.0,12.0,75.0,2,2.0011547,12.012807
62,2.0,12.0,75.0,2,2.0011547,12.012807
63,2.0,12.0,75.0,2,2.0011547,12.012807
64,2.0,12.0,75.0,2,2.0011547,12.012807
65,2.0,12.0,75.0,2,2.0011547,12.012807
66,2.0,12.0,75.0,2,2.0011547,12.012807
67,2.0,12.0,75.0,2,2.0011547,12.012807
68,2.0,12.0,75.0,2,2.0011547,12.012807
69,2.0,12.0,75.0,2,2.0011547,12.012807
70,2.0,12.0,75.0,2,2.0011547,12.012807
71,2.0,12.0,75.0,2,2.0011547,12.012807
72,2.0,12.0,75.0,2,2.0011547,12.012807
73,2.0,12.32846,75.0,2,2.0011547,12.012807
74,2.0,12.0,75.0,2,2.0011547,12.012807
0,2.0,12.0,80.0,3,2.0021648,12.004106
1,2.0,12.0,80.0,3,2.0021648,12.004106
2,2.0,12.0,80.0,3,2.0021648,12.004106
3,2.0,12.0,80.0,3,2.0021648,12.004106
4,2.0,12.0,80.0,3,2.0021648,12.004106
5,2.0,12.0,80.0,3,2.0021648,12.004106
6,2.0,12.0,80.0,3,2.0021648,12.004106
7,2.0,12.0,80.0,3,2.0021648,12.004106
8,2.0,12.0,80.0,3,2.0021648,12.004106
9,2.0,12.0,80.0,3,2.0021648,12.004106
10,2.0,12.0,80.0,3,2.0021648,12.004106
11,2.0,12.0,80.0,3,2.0021648,12.004106
12,2.0,12.0,80.0,3,2.0021648,12.004106
13,2.0,12.0,80.0,3,2.0021648,12.004106
14,2.0,12.0,80.0,3,2.0021648,12.004106
15,2.0,12.0,80.0,3,2.0021648,12.004106
16,2.0,12.0,80.0,3,2.0021648,12.004106
17,2.0,12.0,80.0,3,2.0021648,12.004106
18,2.0,12.0,80.0,3,2.0021648,12.004106
19,2.0,12.0,80.0,3,2.0021648,12.004106
20,2.0,12.0,80.0,3,2.0021648,12.004106
21,2.0,12.0,80.0,3,2.0021648,12.004106
22,2.0,12.0,80.0,3,2.0021648,12.004106
23,2.0,12.0,80.0,3,2.0021648,12.004106
24,2.0,12.0,80.0,3,2.0021648,12.004106
25,2.0,12.0,80.0,3,2.0021648,12.004106
26,2.0,12.0,80.0,3,2.0021648,12.004106
27,2.0,12.0,80.0,3,2.0021648,12.004106
28,2.0,12.0,80.0,3,2.0021648,12.004106
29,2.0,12.0,80.0,3,2.0021648,12.004106
30,2.0,12.0,80.0,3,2.0021648,12.004106
31,2.0,12.0,80.0,3,2.0021648,12.004106
32,2.0,12.0,80.0,3,2.0021648,12.004106
33,2.0,12.0,80.0,3,2.0021648,12.004106
34,2.0,12.0,80.0,3,2.0021648,12.004106
35,2.0865963,12.0,80.0,3,2.0021648,12.004106
36,2.0,12.0,80.0,3,2.0021648,12.004106
37,2.0,12.0,80.0,3,2.0021648,12.004106
38,2.0,12.0,80.0,3,2.0021648,12.004106
39,2.0,12.0,80.0,3,2.0021648,12.004106
40,2.0,12.0,80.0,3,2.0021648,12.004106
41,2.0,12.0,80.0,3,2.0021648,12.004106
42,2.0,12.0,80.0,3,2.0021648,12.004106
43,2.0,12.0,80.0,3,2.0021648,12.004106
44,2.0,12.0,80.0,3,2.0021648,12.004106
45,2.0,12.0,80.0,3,2.0021648,12.004106
46,2.0,12.0,80.0,3,2.0021648,12.004106
47,2.0,12.0,80.0,3,2.0021648,12.004106
48,2.0,12.0,80.0,3,2.0021648,12.004106
49,2.0,12.0,80.0,3,2.0021648,12.004106
50,2.0,12.0,80.0,3,2.0021648,12.004106
51,2.0,12.32846,80.0,3,2.0021648,12.004106
52,2.0,12.0,80.0,3,2.0021648,12.004106
53,2.0,12.0,80.0,3,2.0021648,12.004106
54,2.0,12.0,80.0,3,2.0021648,12.004106
55,2.0,12.0,80.0,3,2.0021648,12.004106
56,2.0,12.0,80.0,3,2.0021648,12.004106
57,2.0,12.0,80.0,3,2.0021648,12.004106
58,2.0,12.0,80.0,3,2.0021648,12.004106
59,2.0,12.0,80.0,3,2.0021648,12.004106
60,2.0,12.0,80.0,3,2.0021648,12.004106
61,2.0,12.0,80.0,3,2.0021648,12.004106
62,2.0,12.0,80.0,3,2.0021648,12.004106
63,2.0865963,12.0,80.0,3,2.0021648,12.004106
64,2.0,12.0,80.0,3,2.0021648,12.004106
65,2.0,12.0,80.0,3,2.0021648,12.004106
66,2.0,12.0,80.0,3,2.0021648,12.004106
67,2.0,12.0,80.0,3,2.0021648,12.004106
68,2.0,12.0,80.0,3,2.0021648,12.004106
69,2.0,12.0,80.0,3,2.0021648,12.004106
70,2.0,12.0,80.0,3,2.0021648,12.004106
71,2.0,12.0,80.0,3,2.0021648,12.004106
72,2.0,12.0,80.0,3,2.0021648,12.004106
73,2.0,12.0,80.0,3,2.0021648,12.004106
74,2.0,12.0,80.0,3,2.0021648,12.004106
75,2.0,12.0,80.0,3,2.0021648,12.004106
76,2.0,12.0,80.0,3,2.0021648,12.004106
77,2.0,12.0,80.0,3,2.0021648,12.004106
78,2.0,12.0,80.0,3,2.0021648,12.004106
79,2.0,12.0,80.0,3,2.0021648,12.004106
0,2.0,12.0,96.0,4,2.002706,12.004765
1,2.0,12.0,96.0,4,2.002706,12.004765
2,2.0,12.0,96.0,4,2.002706,12.004765
3,2.0,12.0,96.0,4,2.002706,12.004765
4,2.0,12.0,96.0,4,2.002706,12.004765
5,2.0,12.0,96.0,4,2.002706,12.004765
6,2.0,12.0,96.0,4,2.002706,12.004765
7,2.0,12.0,96.0,4,2.002706,12.004765
8,2.0,12.0,96.0,4,2.002706,12.004765
9,2.0,12.0,96.0,4,2.002706,12.004765
10,2.0,12.0,96.0,4,2.002706,12.004765
11,2.0,12.0,96.0,4,2.002706,12.004765
12,2.0,12.0,96.0,4,2.002706,12.004765
13,2.0,12.0,96.0,4,2.002706,12.004765
14,2.0,12.0,96.0,4,2.002706,12.004765
15,2.0,12.0,96.0,4,2.002706,12.004765
16,2.0,12.0,96.0,4,2.002706,12.004765
17,2.0,12.0,96.0,4,2.002706,12.004765
18,2.0,12.0,96.0,4,2.002706,12.004765
19,2.0,12.0,96.0,4,2.002706,12.004765
20,2.0,12.0,96.0,4,2.002706,12.004765
21,2.0,12.0,96.0,4,2.002706,12.004765
22,2.0,12.0,96.0,4,2.002706,12.004765
23,2.0,12.0,96.0,4,2.002706,12.004765
24,2.0,12.0,96.0,4,2.002706,12.004765
25,2.0,12.0,96.0,4,2.002706,12.004765
26,2.0,12.0,96.0,4,2.002706,12.004765
27,2.0,12.0,96.0,4,2.002706,12.004765
28,2.0,12.0,96.0,4,2.002706,12.004765
29,2.0,12.0,96.0,4,2.002706,12.004765
30,2.0,12.0,96.0,4,2.002706,12.004765
31,2.0,12.0,96.0,4,2.002706,12.004765
32,2.0,12.0,96.0,4,2.002706,12.004765
33,2.0865963,12.0,96.0,4,2.002706,12.004765
34,2.0,12.0,96.0,4,2.002706,12.004765
35,2.0,12.0,96.0,4,2.002706,12.004765
36,2.0,12.0,96.0,4,2.002706,12.004765
37,2.0,12.0,96.0,4,2.002706,12.004765
38,2.0,12.0,96.0,4,2.002706,12.004765
39,2.0,12.0,96.0,4,2.002706,12.004765
40,2.0,12.0,96.0,4,2.002706,12.004765
41,2.0,12.0,96.0,4,2.002706,12.004765
42,2.0,12.0,96.0,4,2.002706,12.004765
43,2.0,12.0,96.0,4,2.002706,12.004765
44,2.0,12.0,96.0,4,2.002706,12.004765
45,2.0,12.0,96.0,4,2.002706,12.004765
46,2.0,12.0,96.0,4,2.002706,12.004765
47,2.0,12.0,96.0,4,2.002706,12.004765
48,2.0,12.0,96.0,4,2.002706,12.004765
49,2.0,12.0,96.0,4,2.002706,12.004765
50,2.0,12.0,96.0,4,2.002706,12.004765
51,2.0,12.0,96.0,4,2.002706,12.004765
52,2.0,12.0,96.0,4,2.002706,12.004765
53,2.0,12.0,96.0,4,2.002706,12.004765
54,2.0,12.0,96.0,4,2.002706,12.004765
55,2.0865963,12.0,96.0,4,2.002706,12.004765
56,2.0,12.0,96.0,4,2.002706,12.004765
57,2.0,12.0,96.0,4,2.002706,12.004765
58,2.0,12.0,96.0,4,2.002706,12.004765
59,2.0,12.0,96.0,4,2.002706,12.004765
60,2.0,12.0,96.0,4,2.002706,12.004765
61,2.0,12.0,96.0,4,2.002706,12.004765
62,2.0,12.0,96.0,4,2.002706,12.004765
63,2.0,12.0,96.0,4,2.002706,12.004765
64,2.0,12.0,96.0,4,2.002706,12.004765
65,2.0,12.0,96.0,4,2.002706,12.004765
66,2.0,12.0,96.0,4,2.002706,12.004765
67,2.0,12.0,96.0,4,2.002706,12.004765
68,2.0,12.0,96.0,4,2.002706,12.004765
69,2.0,12.0,96.0,4,2.002706,12.004765
70,2.0,12.0,96.0,4,2.002706,12.004765
71,2.0,12.0,96.0,4,2.002706,12.004765
72,2.0,12.0,96.0,4,2.002706,12.004765
73,2.0,12.0,96.0,4,2.002706,12.004765
74,2.0,12.0,96.0,4,2.002706,12.004765
75,2.0,12.0,96.0,4,2.002706,12.004765
76,2.0,12.3591175,96.0,4,2.002706,12.004765
77,2.0,12.0,96.0,4,2.002706,12.004765
78,2.0,12.0,96.0,4,2.002706,12.004765
79,2.0865963,12.0,96.0,4,2.002706,12.004765
80,2.0,12.0,96.0,4,2.002706,12.004765
81,2.0,12.0,96.0,4,2.002706,12.004765
82,2.0,12.0,96.0,4,2.002706,12.004765
83,2.0,12.0,96.0,4,2.002706,12.004765
84,2.0,12.0,96.0,4,2.002706,12.004765
85,2.0,12.0,96.0,4,2.002706,12.004765
86,2.0,11.605074,96.0,4,2.002706,12.004765
87,2.0,11.789806,96.0,4,2.002706,12.004765
88,2.0,12.999722,96.0,4,2.002706,12.004765
89,2.0,12.0,96.0,4,2.002706,12.004765
90,2.0,12.0,96.0,4,2.002706,12.004765
91,2.0,11.703561,96.0,4,2.002706,12.004765
92,2.0,12.0,96.0,4,2.002706,12.004765
93,2.0,12.0,96.0,4,2.002706,12.004765
94,2.0,12.0,96.0,4,2.002706,12.004765
95,2.0,12.0,96.0,4,2.002706,12.004765
0,2.0,12.0,112.0,5,2.0047114,11.996163
1,2.0,12.0,112.0,5,2.0047114,11.996163
2,2.0,12.0,112.0,5,2.0047114,11.996163
3,2.0,12.0,112.0,5,2.0047114,11.996163
4,2.0,12.0,112.0,5,2.0047114,11.996163
5,2.0,12.0,112.0,5,2.0047114,11.996163
6,2.0,12.0,112.0,5,2.0047114,11.996163
7,2.0,12.0,112.0,5,2.0047114,11.996163
8,2.0,12.0,112.0,5,2.0047114,11.996163
9,2.0,12.0,112.0,5,2.0047114,11.996163
10,2.0,12.0,112.0,5,2.0047114,11.996163
11,2.0,12.0,112.0,5,2.0047114,11.996163
12,2.0,12.0,112.0,5,2.0047114,11.996163
13,2.0,12.0,112.0,5,2.0047114,11.996163
14,2.0,12.0,112.0,5,2.0047114,11.996163
15,2.0,12.0,112.0,5,2.0047114,11.996163
16,2.0,12.0,112.0,5,2.0047114,11.996163
17,2.0,12.0,112.0,5,2.0047114,11.996163
18,2.0,12.0,112.0,5,2.0047114,11.996163
19,2.0,12.0,112.0,5,2.0047114,11.996163
20,2.0,12.0,112.0,5,2.0047114,11.996163
21,2.0,12.0,112.0,5,2.0047114,11.996163
22,2.0,12.0,112.0,5,2.0047114,11.996163
23,2.0,12.0,112.0,5,2.0047114,11.996163
24,2.0,12.0,112.0,5,2.0047114,11.996163
25,2.0,12.0,112.0,5,2.0047114,11.996163
26,2.0,12.0,112.0,5,2.0047114,11.996163
27,2.0,12.0,112.0,5,2.0047114,11.996163
28,2.0865963,12.0,112.0,5,2.0047114,11.996163
29,2.0,12.0,112.0,5,2.0047114,11.996163
30,2.0,12.0,112.0,5,2.0047114,11.996163
31,2.0,12.0,112.0,5,2.0047114,11.996163
32,2.0,12.0,112.0,5,2.0047114,11.996163
