timeStep,prey,predators
478,4293,54
479,4320,54
480,4366,53
481,4350,53
482,4393,53
483,4397,53
484,4392,53
485,4399,54
486,4407,56
487,4436,56
488,4419,57
489,4479,55
490,4502,55
491,4487,56
492,4486,56
493,4527,57
494,4589,57
495,4582,56
496,4578,58
497,4623,57
498,4568,56
499,4606,57
500,4598,56
501,4634,59
502,4679,59
503,4662,59
504,4703,58
505,4652,58
506,4688,58
507,4712,62
508,4763,62
509,4762,63
510,4728,63
511,4757,65
512,4801,65
513,4791,68
514,4787,69
515,4805,69
516,4860,68
517,4866,67
518,4798,67
519,4822,68
520,4850,68
521,4843,68
522,4832,68
523,4815,66
524,4819,66
525,4882,67
526,4917,68
527,4945,70
528,4889,71
529,4900,71
530,4853,72
531,4846,73
532,4913,73
533,4943,74
534,4946,74
535,4951,74
536,4972,74
537,5019,74
538,5034,74
539,5021,76
540,4978,80
541,5020,81
542,5022,83
543,5051,83
544,5114,84
545,5103,83
546,5095,85
547,5047,86
548,5032,86
549,5087,86
550,5107,87
551,5102,87
552,5129,87
553,5156,88
554,5239,89
555,5217,89
556,5252,90
557,5213,91
558,5246,91
559,5267,94
560,5241,96
561,5273,97
562,5311,98
563,5291,99
564,5297,101
565,5300,104
566,5308,104
567,5292,107
568,5293,108
569,5295,110
570,5320,110
571,5357,110
572,5369,112
573,5392,112
574,5372,113
575,5400,114
576,5435,117
577,5414,118
578,5423,118
579,5432,121
580,5450,123
581,5415,123
582,5456,126
583,5421,125
584,5475,124
585,5524,124
586,5554,126
587,5491,127
588,5528,128
589,5525,125
590,5534,124
591,5524,127
592,5603,127
593,5510,128
594,5592,130
595,5532,132
596,5514,132
597,5594,130
598,5601,133
599,5520,134
600,5618,134
601,5502,135
602,5556,136
603,5538,137
604,5608,139
605,5590,139
606,5614,140
607,5608,140
608,5621,141
609,5634,143
610,5582,147
611,5653,146
612,5651,145
613,5730,145
614,5759,146
615,5710,149
616,5752,150
617,5690,150
618,5671,149
619,5732,151
620,5688,153
621,5717,156
622,5648,155
623,5651,154
624,5605,156
625,5649,159
626,5681,160
627,5698,161
628,5761,162
629,5701,160
630,5701,160
631,5694,161
632,5723,162
633,5711,163
634,5697,163
635,5699,163
636,5744,165
637,5648,166
638,5678,170
639,5644,169
640,5697,169
641,5668,169
642,5618,165
643,5675,167
644,5650,167
645,5700,169
646,5724,168
647,5652,168
648,5761,171
649,5694,174
650,5683,176
651,5700,176
652,5721,177
653,5675,180
654,5634,179
655,5647,182
656,5672,184
657,5710,186
658,5678,186
659,5687,186
660,5682,187
661,5703,185
662,5673,187
663,5630,190
664,5642,193
665,5683,195
666,5673,196
667,5677,197
668,5660,195
669,5686,198
670,5718,200
671,5700,201
672,5680,204
673,5617,203
674,5680,203
675,5674,206
676,5686,206
677,5678,205
678,5735,208
679,5697,207
680,5670,209
681,5639,208
682,5569,208
683,5620,213
684,5597,215
685,5564,217
686,5486,221
687,5560,221
688,5579,220
689,5568,221
690,5640,222
691,5537,222
692,5524,223
693,5505,222
694,5506,223
695,5546,227
696,5518,229
697,5582,229
698,5497,231
699,5548,230
700,5460,232
701,5468,235
702,5469,237
