timeStep,hosts,consumers
401,4775,2211
402,4805,2211
403,4863,2152
404,4938,2129
405,4994,2139
406,5003,2175
407,5027,2189
408,5067,2167
409,5051,2205
410,5079,2215
411,5129,2197
412,5127,2197
413,5161,2199
414,5170,2220
415,5225,2239
416,5207,2272
417,5223,2269
418,5270,2257
419,5297,2248
420,5336,2228
421,5357,2196
422,5430,2137
423,5535,2087
424,5644,2061
425,5772,1993
426,5851,1999
427,5909,2041
428,5940,2080
429,6006,2085
430,6004,2150
431,6013,2197
432,6035,2250
433,6075,2316
434,6025,2422
435,6012,2478
436,5979,2522
437,5934,2517
438,5905,2545
439,5860,2571
440,5893,2549
441,5837,2574
442,5824,2584
443,5802,2570
444,5791,2593
445,5776,2615
446,5778,2586
447,5764,2567
448,5757,2530
449,5722,2534
450,5743,2486
451,5717,2448
452,5761,2395
453,5783,2384
454,5767,2449
455,5752,2427
456,5727,2434
457,5724,2384
458,5713,2396
459,5702,2411
460,5682,2411
461,5629,2450
462,5631,2483
463,5595,2510
464,5525,2534
465,5422,2556
466,5377,2604
467,5322,2635
468,5249,2675
469,5144,2703
470,5037,2739
471,4946,2734
472,4899,2742
473,4789,2787
474,4650,2816
475,4597,2819
476,4543,2748
477,4532,2704
478,4574,2617
479,4580,2497
480,4615,2478
481,4629,2427
482,4683,2383
483,4766,2368
484,4775,2372
485,4850,2350
486,4881,2366
487,4922,2328
488,4977,2331
489,5015,2302
490,5022,2316
491,5024,2329
492,5055,2294
493,5058,2298
494,5079,2348
495,5051,2356
496,5047,2318
497,5008,2393
498,5013,2401
499,4960,2419
500,4982,2418
501,4931,2442
502,4927,2424
503,4946,2422
504,4953,2413
505,4997,2366
506,4994,2369
507,5001,2383
508,4984,2347
509,4995,2353
510,5015,2365
511,5028,2327
512,5094,2291
513,5061,2250
514,5075,2300
515,5042,2316
516,5015,2334
517,4925,2396
518,4865,2402
519,4802,2473
520,4779,2469
521,4735,2449
522,4734,2463
523,4736,2465
524,4736,2448
525,4780,2367
526,4802,2344
527,4811,2313
528,4830,2296
529,4803,2336
530,4777,2375
531,4734,2373
532,4765,2316
533,4751,2310
534,4725,2326
535,4725,2303
536,4751,2254
537,4811,2229
538,4869,2215
539,4921,2183
540,4968,2155
541,5096,2080
542,5135,2111
543,5208,2052
544,5254,2087
545,5334,2069
546,5402,2038
547,5518,2051
548,5601,2040
549,5660,2054
550,5741,2073
551,5837,2095
552,5893,2110
553,5973,2102
554,6021,2137
555,6108,2142
556,6222,2126
557,6232,2207
558,6245,2258
559,6246,2311
560,6223,2373
561,6211,2432
562,6214,2432
563,6187,2446
564,6181,2513
565,6184,2548
566,6194,2543
567,6235,2524
568,6281,2550
569,6276,2567
570,6300,2543
571,6320,2522
572,6323,2509
573,6426,2466
574,6420,2506
575,6404,2537
576,6383,2526
577,6304,2532
578,6222,2603
579,6139,2639
580,6088,2658
581,6031,2669
582,5902,2718
583,5777,2776
584,5648,2824
585,5549,2894
586,5434,2931
587,5304,2919
588,5174,2878
589,5019,2898
590,4965,2843
591,4840,2823
592,4761,2794
593,4712,2711
594,4652,2667
595,4677,2568
596,4691,2535
597,4717,2499
598,4789,2459
599,4842,2413
600,4860,2371
601,4908,2323
602,4913,2318
603,4957,2278
604,4982,2229
605,5000,2235
606,5010,2260
607,5050,2217
608,5113,2194
609,5123,2164
610,5205,2134
611,5234,2101
612,5311,2081
613,5377,2088
614,5429,2056
615,5432,2082
616,5456,2124
617,5469,2157
618,5450,2172
619,5469,2180
620,5432,2208
621,5468,2190
622,5468,2252
623,5445,2255
624,5434,2284
625,5398,2384
626,5406,2387
627,5410,2453
628,5408,2488
629,5393,2576
630,5311,2612
631,5319,2636
632,5348,2618
633,5340,2615
634,5395,2567
635,5409,2545
636,5434,2527
637,5486,2507
638,5488,2555
639,5487,2530
640,5520,2503
641,5478,2515
642,5501,2533
643,5474,2562
644,5472,2613
645,5496,2594
646,5472,2627
647,5458,2574
648,5496,2525
649,5513,2546
650,5506,2564
651,5443,2645
652,5389,2668
653,5323,2698
654,5278,2683
655,5215,2646
656,5204,2615
657,5184,2595
658,5132,2556
659,5122,2500
660,5062,2546
661,4979,2544
662,4896,2613
663,4794,2624
664,4702,2636
665,4679,2631
666,4678,2597
667,4684,2568
668,4692,2558
669,4680,2525
670,4716,2468
671,4760,2443
672,4779,2438
673,4785,2413
674,4835,2420
675,4875,2365
676,4939,2317
677,4957,2282
678,5020,2268
679,5123,2255
680,5175,2262
681,5254,2178
682,5353,2143
683,5452,2158
684,5529,2168
685,5626,2155
686,5717,2137
687,5759,2147
