timeStep,hosts,consumers
430,6682,1597
431,6553,1581
432,6479,1552
433,6409,1506
434,6320,1465
435,6230,1478
436,6131,1431
437,6037,1390
438,5956,1382
439,5926,1312
440,5840,1280
441,5820,1234
442,5774,1205
443,5733,1190
444,5709,1133
445,5715,1080
446,5694,1050
447,5650,1051
448,5635,1033
449,5639,981
450,5633,969
451,5628,919
452,5639,902
453,5625,919
454,5650,887
455,5652,875
456,5626,860
457,5669,827
458,5683,825
459,5714,822
460,5735,811
461,5766,825
462,5808,811
463,5875,775
464,5943,737
465,6033,709
466,6074,703
467,6146,679
468,6214,625
469,6291,573
470,6381,541
471,6447,511
472,6545,462
473,6642,446
474,6752,423
475,6840,418
476,6933,408
477,6997,425
478,7088,428
479,7214,423
480,7325,419
481,7421,420
482,7491,402
483,7585,409
484,7668,428
485,7757,433
486,7852,454
487,7959,467
488,8012,484
489,8098,495
490,8217,499
491,8283,512
492,8337,522
493,8450,507
494,8506,505
495,8586,515
496,8683,500
497,8770,487
498,8879,480
499,8969,481
500,9074,473
501,9158,454
502,9266,451
503,9365,471
504,9439,493
505,9516,512
506,9583,529
507,9651,544
508,9681,591
509,9715,615
510,9784,633
511,9850,627
512,9867,678
513,9894,702
514,9954,719
515,9982,746
516,10012,762
517,10006,787
518,10013,826
519,10044,853
520,10052,876
521,10043,915
522,10070,910
523,10051,948
524,10053,974
525,10016,1003
526,10000,1015
527,9985,1055
528,9996,1051
529,9952,1063
530,9937,1086
531,9953,1050
532,9967,1034
533,9987,1008
534,9996,976
535,10014,946
536,10048,938
537,10069,926
538,10106,931
539,10142,899
540,10195,893
541,10203,901
542,10193,937
543,10159,970
544,10106,1041
545,10068,1078
546,10040,1069
547,10019,1086
548,9972,1113
549,9901,1178
550,9880,1169
551,9822,1186
552,9802,1217
553,9720,1248
554,9651,1294
555,9543,1336
556,9462,1339
557,9403,1311
558,9349,1316
559,9289,1314
560,9259,1337
561,9175,1352
562,9122,1354
563,9077,1326
564,9066,1302
565,9023,1306
566,8985,1307
567,8940,1290
568,8904,1245
569,8844,1286
570,8766,1332
571,8670,1337
572,8595,1361
573,8507,1364
574,8427,1366
575,8334,1390
576,8281,1384
577,8204,1424
578,8144,1403
579,8024,1446
580,7923,1466
581,7876,1427
582,7824,1403
583,7793,1381
584,7746,1365
585,7745,1314
586,7738,1269
587,7727,1230
588,7694,1211
589,7670,1202
590,7641,1202
591,7631,1185
592,7620,1158
593,7604,1154
594,7575,1137
595,7577,1145
596,7575,1106
597,7545,1091
598,7544,1063
599,7494,1071
600,7473,1078
601,7447,1069
602,7403,1093
603,7364,1098
604,7388,1060
605,7352,1069
606,7324,1066
607,7302,1069
608,7277,1098
609,7222,1118
610,7182,1148
611,7135,1154
612,7058,1218
613,7018,1210
614,6953,1238
615,6924,1180
616,6891,1162
617,6875,1124
618,6880,1090
619,6836,1086
620,6809,1089
621,6774,1076
622,6724,1071
623,6698,1054
624,6685,1040
625,6688,1030
626,6675,1040
627,6652,1027
628,6673,1018
629,6676,1008
630,6690,1012
631,6720,998
632,6707,989
633,6756,953
634,6791,911
635,6812,883
636,6811,862
637,6840,863
638,6860,854
639,6891,819
640,6937,789
641,6982,782
642,7015,770
643,7044,779
644,7089,785
645,7143,754
646,7187,720
647,7250,709
648,7285,729
649,7339,727
650,7355,744
651,7403,737
652,7483,722
653,7525,718
654,7572,717
655,7648,699
656,7702,694
657,7761,704
658,7826,699
659,7881,681
660,7952,658
661,8024,669
662,8082,676
663,8122,708
664,8165,732
665,8194,744
666,8214,804
667,8191,863
668,8162,904
669,8176,927
670,8177,961
671,8160,985
672,8204,979
673,8205,982
674,8235,975
675,8267,963
676,8293,947
677,8334,902
678,8403,866
679,8450,855
680,8518,841
681,8572,854
682,8650,844
683,8731,829
684,8797,806
685,8890,749
686,8976,718
687,9039,681
688,9141,654
689,9231,637
690,9352,602
691,9447,629
692,9550,601
693,9633,616
694,9669,644
695,9741,631
696,9784,650
697,9854,651
698,9930,668
699,10002,690
700,10043,718
701,10094,724
702,10156,718
703,10216,741
704,10234,764
705,10312,735
706,10356,767
707,10427,780
708,10454,780
709,10486,801
710,10525,812
711,10591,808
712,10594,837
713,10630,833
714,10641,863
715,10688,851
716,10696,877
717,10671,919
718,10640,972
719,10658,987
720,10695,1007
721,10736,960
722,10747,973
723,10784,971
724,10779,983
725,10802,1000
726,10829,1019
727,10856,1012
728,10839,1023
729,10833,1053
730,10794,1094
731,10786,1128
732,10793,1143
733,10807,1122
734,10783,1149
735,10754,1175
736,10716,1178
737,10694,1159
738,10666,1167
739,10615,1214
740,10585,1247
741,10507,1289
742,10451,1317
743,10385,1363
744,10364,1358
745,10299,1365
746,10232,1370
747,10183,1358
748,10141,1351
749,10085,1358
750,10016,1386
751,9991,1376
752,9933,1362
753,9896,1340
754,9807,1362
755,9778,1343
756,9772,1307
757,9716,1289
758,9675,1295
759,9625,1293
760,9574,1303
761,9520,1276
762,9488,1240
763,9458,1224
764,9456,1204
765,9460,1195
766,9405,1234
767,9344,1247
768,9318,1227
769,9222,1309
770,9157,1328
771,9085,1346
772,9002,1353
773,8917,1387
774,8914,1359
775,8851,1312
776,8823,1318
777,8760,1334
778,8712,1339
779,8658,1338
780,8614,1337
781,8569,1286
782,8554,1231
783,8542,1192
784,8524,1176
785,8482,1182
786,8422,1172
787,8380,1175
788,8367,1147
789,8313,1172
790,8268,1172
791,8232,1144
792,8174,1174
793,8150,1170
794,8102,1178
795,8071,1169
796,8022,1192
797,7939,1232
798,7845,1270
799,7794,1294
800,7752,1304
801,7670,1309
802,7584,1289
803,7542,1297
804,7484,1297
805,7405,1322
806,7347,1322
807,7245,1346
808,7225,1321
809,7190,1325
810,7144,1299
811,7116,1288
812,7099,1241
813,7095,1194
814,7093,1162
815,7110,1107
816,7117,1091
817,7138,1049
818,7181,995
819,7241,951
820,7334,887
821,7374,828
822,7427,783
823,7508,757
824,7573,740
825,7638,725
826,7695,705
827,7762,703
828,7827,672
829,7891,662
830,7962,657
831,8028,662
832,8131,643
833,8205,639
834,8262,642
835,8332,646
836,8393,648
837,8462,653
838,8507,652
839,8574,657
840,8659,641
841,8717,628
842,8775,643
843,8815,636
844,8847,649
845,8902,659
846,8977,689
847,9037,698
848,9095,711
849,9129,708
850,9171,706
851,9196,707
852,9245,689
853,9293,672
854,9368,664
855,9422,663
856,9439,700
857,9460,717
858,9494,734
859,9544,751
860,9554,760
861,9624,761
862,9716,738
863,9791,706
864,9825,731
865,9912,698
866,9972,712
867,10003,721
868,10028,733
869,10094,733
870,10088,757
871,10088,804
872,10089,839
873,10089,881
874,10066,916
875,10055,943
876,10036,957
877,10006,998
878,9950,1048
879,9902,1076
880,9871,1097
881,9852,1119
882,9793,1152
883,9751,1177
884,9749,1171
885,9692,1227
886,9621,1228
887,9592,1223
888,9526,1257
889,9439,1312
890,9422,1312
891,9349,1321
892,9316,1284
893,9238,1307
894,9183,1295
895,9119,1295
896,9098,1253
897,9026,1256
898,9009,1219
899,8993,1193
900,8990,1168
901,8982,1157
902,8964,1123
903,8980,1094
904,8995,1065
905,9018,1018
906,9068,952
907,9090,932
908,9116,914
909,9156,855
910,9227,820
911,9270,796
912,9315,774
913,9380,734
914,9434,707
915,9463,689
916,9525,660
917,9598,625
918,9647,589
919,9742,566
920,9821,539
921,9907,514
922,9988,502
923,10072,504
924,10126,492
925,10214,476
926,10280,484
927,10353,489
928,10441,488
929,10518,497
930,10593,490
931,10676,507
932,10751,499
933,10861,488
934,10958,474
935,11017,474
936,11092,494
937,11141,529
938,11213,540
939,11274,563
940,11318,570
941,11368,554
942,11402,577
943,11423,623
944,11482,628
945,11543,635
946,11602,635
947,11670,623
948,11747,601
949,11819,579
950,11881,582
951,11961,539
952,12065,521
953,12138,516
954,12196,501
955,12278,495
956,12347,495
957,12417,515
958,12489,523
959,12520,545
960,12553,537
961,12624,548
962,12679,555
963,12728,568
964,12780,579
965,12839,575
966,12947,542
967,13026,534
968,13121,515
969,13198,512
970,13260,502
971,13343,492
972,13435,496
973,13503,500
974,13572,494
975,13657,498
