Animat,Speed,Size,Population,Day,Meanspeed,Meansize
16,2.0,12.0,87.0,3,1.9991426,11.99691
17,2.0,12.0,87.0,3,1.9991426,11.99691
18,2.0,12.0,87.0,3,1.9991426,11.99691
19,2.0,12.0,87.0,3,1.9991426,11.99691
20,2.0,12.0,87.0,3,1.9991426,11.99691
21,2.0,12.0,87.0,3,1.9991426,11.99691
22,2.0,12.0,87.0,3,1.9991426,11.99691
23,2.0,12.0,87.0,3,1.9991426,11.99691
24,2.0,12.0,87.0,3,1.9991426,11.99691
25,2.0,12.0,87.0,3,1.9991426,11.99691
26,2.0,12.0,87.0,3,1.9991426,11.99691
27,2.0,12.0,87.0,3,1.9991426,11.99691
28,2.0,12.0,87.0,3,1.9991426,11.99691
29,2.0,12.0,87.0,3,1.9991426,11.99691
30,2.0,12.0,87.0,3,1.9991426,11.99691
31,2.0,12.0,87.0,3,1.9991426,11.99691
32,2.0,12.0,87.0,3,1.9991426,11.99691
33,2.0,12.0,87.0,3,1.9991426,11.99691
34,2.0,12.0,87.0,3,1.9991426,11.99691
35,2.0,12.0,87.0,3,1.9991426,11.99691
36,2.0,12.0,87.0,3,1.9991426,11.99691
37,2.0,12.0,87.0,3,1.9991426,11.99691
38,2.0,12.0,87.0,3,1.9991426,11.99691
39,2.0,12.0,87.0,3,1.9991426,11.99691
40,2.0,12.0,87.0,3,1.9991426,11.99691
41,2.0,12.0,87.0,3,1.9991426,11.99691
42,2.0,12.0,87.0,3,1.9991426,11.99691
43,2.0,12.0,87.0,3,1.9991426,11.99691
44,2.0,12.0,87.0,3,1.9991426,11.99691
45,2.0,12.0,87.0,3,1.9991426,11.99691
46,2.0,12.0,87.0,3,1.9991426,11.99691
47,2.0,12.0,87.0,3,1.9991426,11.99691
48,2.0,12.0,87.0,3,1.9991426,11.99691
49,2.0,12.0,87.0,3,1.9991426,11.99691
50,2.0,12.0,87.0,3,1.9991426,11.99691
51,2.0,12.0,87.0,3,1.9991426,11.99691
52,2.0,12.0,87.0,3,1.9991426,11.99691
53,2.0,12.0,87.0,3,1.9991426,11.99691
54,2.0,12.0,87.0,3,1.9991426,11.99691
55,2.0,12.0,87.0,3,1.9991426,11.99691
56,2.0,12.0,87.0,3,1.9991426,11.99691
57,2.0,12.0,87.0,3,1.9991426,11.99691
58,2.0,12.0,87.0,3,1.9991426,11.99691
59,2.0,12.0,87.0,3,1.9991426,11.99691
60,2.0,12.0,87.0,3,1.9991426,11.99691
61,2.0,12.0,87.0,3,1.9991426,11.99691
62,2.0,11.126072,87.0,3,1.9991426,11.99691
63,2.0,12.0,87.0,3,1.9991426,11.99691
64,2.0,12.0,87.0,3,1.9991426,11.99691
65,2.0,12.0,87.0,3,1.9991426,11.99691
66,2.0,12.0,87.0,3,1.9991426,11.99691
67,2.0,12.0,87.0,3,1.9991426,11.99691
68,2.0,12.605183,87.0,3,1.9991426,11.99691
69,2.0,12.0,87.0,3,1.9991426,11.99691
70,2.0,12.0,87.0,3,1.9991426,11.99691
71,2.0,12.0,87.0,3,1.9991426,11.99691
72,1.9316461,12.0,87.0,3,1.9991426,11.99691
73,2.0,12.0,87.0,3,1.9991426,11.99691
74,2.0,12.0,87.0,3,1.9991426,11.99691
75,2.0,12.0,87.0,3,1.9991426,11.99691
76,2.0,12.0,87.0,3,1.9991426,11.99691
77,1.9937769,12.0,87.0,3,1.9991426,11.99691
78,2.0,12.0,87.0,3,1.9991426,11.99691
79,2.0,12.0,87.0,3,1.9991426,11.99691
80,2.0,12.0,87.0,3,1.9991426,11.99691
81,2.0,12.0,87.0,3,1.9991426,11.99691
82,2.0,12.0,87.0,3,1.9991426,11.99691
83,2.0,12.0,87.0,3,1.9991426,11.99691
84,2.0,12.0,87.0,3,1.9991426,11.99691
85,2.0,12.0,87.0,3,1.9991426,11.99691
86,2.0,12.0,87.0,3,1.9991426,11.99691
0,2.0,12.0,91.0,4,2.0018246,12.005996
1,2.0,12.0,91.0,4,2.0018246,12.005996
2,2.0,12.0,91.0,4,2.0018246,12.005996
3,2.0,12.0,91.0,4,2.0018246,12.005996
4,2.0,12.0,91.0,4,2.0018246,12.005996
